program_image_url,university_name,level,program_name,destination,location,campus_city,tuition_1st_year,application_fee,duration,success_rate,intake_terms,deadlines,prerequisites,must_requirements,tags,source_url
//storage-prtl-co.imgix.net/endor/studies/293990/covers/1782728079_malta-cover.png,University of Malta,M.Sc.,Digital Games,Malta,"Msida, Malta",Msida,13400 EUR / year (International); Free (EU/EEA),Not specified,24 months,Not specified,2027-10-04,International: 2027-07-01; National: 2027-07-22; EEA/EU: 2027-07-22,"Bachelor degree from recognized university in Information Technology, Engineering, Communications, Humanities, Social Sciences, or other area deemed appropriate: required; Portfolio of recent works: required; Letter of motivation: required",Applicants must be in possession of a Bachelor degree from this University or from a university recognised by Senate for the purpose,Scholarships available (Funding): available; Game Design (Discipline): yes; Computer Sciences (Discipline): yes; 120 ECTS (Credits): 120,https://www.mastersportal.com/studies/155925/digital-games.html
//storage-prtl-co.imgix.net/endor/studies/340845/covers/1782728340_malta-cover.png,University of Malta,M.Sc.,Engineering (Mechanical),Malta,"Msida, Malta",Msida,8933 EUR / year (International); Free (EU/EEA),Not specified,18 months,Not specified,2026-10-05; 2027-10-05,2026-07-22 (National); 2027-07-01 (International),Bachelor of Engineering (Honours): Second Class Honours minimum OR Bachelor of Science (Honours): Second Class Honours in relevant subjects OR Bachelor degree with Third Class Honours in Engineering/relevant area plus qualifications/experience OR equivalent qualifications approved by Senate; GPA requirement: Lower Second Class; English proficiency: TOEFL IBT 95 OR PTE Academic 71 OR IELTS 6.5,Research-based postgraduate course: applicants encouraged to consult Faculty of Engineering to discuss research proposal prior to enrollment,Research-focused program (Program Type): dissertation-based; Engineering discipline (Subject Area): mechanical; Top university ranking (Institutional): Top 5% worldwide per Studyportals Meta Ranking; Scholarships available (Funding): various external scholarships listed; 90 ECTS credits (Credits): 90,https://www.mastersportal.com/studies/268431/engineering.html
https://storage-prtl-co.imgix.net/endor/studies/294076/covers/1782912301_malta-cover.png,University of Malta,M.Sc.,Strategic Management and Digital Marketing,Malta,"Msida, Malta",Msida,10800 EUR / year (International); Free (EU/EEA),Not specified,18 months,Not specified,2026-10-05; 2027-10-05,2026-07-22 (National); 2027-07-01 (International),Bachelor of Commerce with Category II: minimum 65% average in proposed area; Bachelor of Commerce Honours: Second Class Honours; Bachelor of Science Honours in Business and IT: Second Class Honours; GPA: Lower Second Class; TOEFL IBT: 95; PTE Academic: 71; IELTS: 6.5,Applicants must be in possession of the degree of Bachelor of Commerce from this University,Scholarships available (Funding): available; Top 5% worldwide (Ranking): yes; Digital Marketing (Discipline): yes; Marketing (Discipline): yes,https://www.mastersportal.com/studies/293819/strategic-management-and-digital-marketing.html
//storage-prtl-co.imgix.net/endor/studies/293825/covers/1782470975_malta-cover.png,University of Malta,M.Sc.,Blockchain and Distributed Ledger Technologies (Information and Communication Technology),Malta,"Msida, Malta",Msida,10000 EUR / year,Not specified,12 months (full-time); 24 months (part-time),Not specified,2026-09-29,Not specified,"Bachelor degree in Business, Economics, Finance, Law, Management, Information Technology or related field: at least Second Class Honours; English proficiency: TOEFL IBT 95 or PTE Academic 71 or IELTS 6.5; GPA: Lower Second Class minimum","Open to applicants in possession of a Bachelor degree from this University with at least Second Class (Honours) or Category II in the areas of Business, Economics, Finance, Law, Management, Information Technology, or in any other area which the Board deems appropriate",Scholarships available (Funding): available; Multi-disciplinary program (Curriculum Design): yes; ICT/Business/Law focus (Subject Area): yes,https://www.mastersportal.com/studies/293825/blockchain-and-distributed-ledger-technologies.html
https://storage-prtl-co.imgix.net/endor/studies/340074/covers/1782389303_malta-cover.png,University of Malta,Master,Accountancy,Malta,"Msida, Malta",Msida,10800 EUR / year (International); Free (EU/EEA),Not specified,24 months,Not specified,"October 4, 2027","July 1, 2027 (International); July 22, 2027 (National/EEA/EU)",Bachelor of Commerce with Accountancy as main area: Category II classification with minimum 60% average in Years 2-3 Accountancy units; Bachelor of Science (Honours) in Accountancy and Information Systems: at least Second Class Honours and minimum 60% in Accountancy units,Applicants must be in possession of the Bachelor of Commerce degree from this University with one of the two main areas of study being Accountancy,Scholarships available (Financial Aid): available; English proficiency required (Admission): TOEFL IBT 95/IELTS 6.5/PTE 71; On-campus delivery (Format): yes; 120 ECTS (Credits): 120,https://www.mastersportal.com/studies/293827/accountancy.html
https://storage-prtl-co.imgix.net/endor/studies/340651/covers/1782476849_malta-cover.png,University of Malta,Postgraduate Diploma,Dietetics,Malta,"Msida, Malta",Msida,13400 EUR / year (International); Free (EU/EEA),Not specified,12 months full-time,Not specified,"October 4, 2027","July 1, 2027 (International); July 22, 2027 (National/EEA/EU)",Bachelor's degree: at least Second Class Honours in suitable area of study; Evidence of professional license registration: may be required; Work experience in relevant field: may be required (specifics at application call),A Bachelor's degree obtained with at least Second Class Honours in an area of study deemed suitable by the Board,Scholarships available (Funding): available; On-campus delivery (Format): yes; 60 ECTS credits (Structure): 60; Nutrition & Dietetics focus (Subject): yes; Food Science component (Subject): yes; English-taught program (Language): yes,https://www.mastersportal.com/studies/293828/dietetics.html
https://storage-prtl-co.imgix.net/endor/studies/340594/covers/1782473199_malta-cover.png,University of Malta,M.Sc.,Cognitive Science,Malta,"Msida, Malta",Msida,13400 EUR / year (International); 1600 EUR total course fees (EU/EEA: Eur400 annual enrolment + Eur800 bench fees),Not specified,18 months,Not specified,"October 4, 2027","July 1, 2027 (International); July 22, 2027 (National/EEA/EU)",Bachelor's degree: at least Second Class Honours or Category II; Motivation letter: required; Interview: required; English proficiency: IELTS 6.5 or TOEFL IBT 95 or PTE Academic 71,"Applicants must be in possession of a Bachelor's degree from this University, or from any other university approved by Senate for this purpose, obtained with at least Second Class Honours or Category II",Scholarships available (Funding): available; Interdisciplinary study (Subject Area): yes; On-campus delivery (Format): yes,https://www.mastersportal.com/studies/293832/cognitive-science.html
https://storage-prtl-co.imgix.net/endor/studies/294029/covers/1782730621_malta-cover.png,University of Malta,M.Sc.,Food Sciences and Nutrition,Malta,"Msida, Malta",Msida,13400 EUR/year (International); Free (EU/EEA),Not specified,18 months,Not specified,"October 5, 2026; February 9, 2027; June 8, 2027","Not specified; January 30, 2027; Not specified",Bachelor of Science (Honours): at least Second Class from Faculty of Health Sciences in related field OR Bachelor's degree with Second Class (Honours) in closely related discipline OR equivalent qualification deemed by Senate; GPA: Lower Second Class; English proficiency: TOEFL IBT 95 OR PTE Academic 71 OR IELTS 6.5,Degree of Bachelor of Science (Honours) obtained with at least Second Class (Honours) in related field or deemed equivalent qualification,Scholarships available (Funding): available; Research-focused dissertation component (Program Structure): yes; 90 ECTS credits (Academics): 90,https://www.mastersportal.com/studies/293833/food-sciences-and-nutrition.html
//storage-prtl-co.imgix.net/endor/studies/341041/covers/1782822468_malta-cover.png,University of Malta,Master,Gerontology and Geriatrics,Malta,"Msida, Malta",Msida,10800 EUR/year (International); Free (EU/EEA),Not specified,18 months full-time,Not specified,"October 5, 2026; February 9, 2027; June 8, 2027","Not specified; January 30, 2027; Not specified",Bachelor degree: at least Second Class Honours or Category II in caring profession or relevant discipline; English proficiency: TOEFL IBT 95 or PTE Academic 71 or IELTS 6.5; GPA: Lower Second Class or equivalent,"Bachelor degree obtained with at least Second Class Honours or Category II, or professional qualification considered comparable in relevant field",Multidisciplinary program (Academic Focus): combines applied and theoretical knowledge in aging; Fieldwork component (Program Structure): includes fieldwork in settings for older persons; Historical establishment (Prestige): established 1989 by UN International Institute on Ageing experts; Scholarships available (Funding): multiple external scholarship options listed,https://www.mastersportal.com/studies/293834/gerontology-and-geriatrics.html
//storage-prtl-co.imgix.net/endor/studies/294076/covers/1782912289_malta-cover.png,University of Malta,Master of Social Work,Social Work,Malta,"Msida, Malta",Msida,10800 EUR / year (International); Free (EU/EEA),Not specified,24 months,Not specified,2026-10-05; 2027-10-05,2026-07-22 (National); 2027-07-01 (International),"Bachelor degree in Social Policy, Psychology, Youth and Community Studies or Social Wellbeing Studies: Second Class (Honours) and minimum 65% average; OR Bachelor degree with Category II and minimum 65% average in two of Anthropology, Psychology, Sociology or Social Studies; OR Bachelor in Theology with Psychology or Social Studies or Sociology: Category II and 65% average; GPA: Lower Second Class; English: TOEFL IBT 95 OR PTE Academic 71 OR IELTS 6.5",Applicants must be in possession of a Bachelor degree from this University or any higher education institution recognised by Senate,Scholarships available (Funding): available; On Campus (Delivery): yes; 120 ECTS (Credits): 120; Social Work (Discipline): yes; Social Policy (Discipline): yes,https://www.mastersportal.com/studies/293838/social-work.html
