program_image_url,university_name,level,program_name,destination,location,campus_city,tuition_1st_year,application_fee,duration,success_rate,intake_terms,deadlines,prerequisites,must_requirements,tags,source_url
https://storage-prtl-co.imgix.net/endor/organisations/4198/covers/1740129787_nijmegenschoolofmanagement.png,Radboud University,M.Sc.,Economics - Accounting and Control,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 18873 EUR/yr,Not specified,12 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; National: 2027-07-01; Non-EU scholarship: 2027-01-31,IELTS: 6.5; TOEFL iBT: 90,"Bachelor's degree in a similar or related field from another research university with a fair number of courses in preferred specialisation, equivalent to Dutch Research University diploma","Top 1% worldwide; NVAO Accredited; AACSB Accredited; Rating 4.3/5 (86 reviews); Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships)",https://www.mastersportal.com/studies/112055/economics-accounting-and-control.html
https://storage-prtl-co.imgix.net/endor/organisations/33/covers/1614592543_new-cover-photo-2021.png,Utrecht University,Master's (research-oriented),Religious Studies,Netherlands,"Utrecht, Netherlands",Utrecht,EU: 2694 EUR/yr; Non-EU: 21342 EUR/yr,Not specified,24 months,Not specified,Sep 2027,EU/EEA: 2027-06-01; Non-EU: 2027-04-01,TOEFL iBT: 100; PTE Academic: 70; IELTS: 7,Bachelor's degree in humanities or social sciences with minimum 30 ECTS in relevant field; good or better overall GPA and thesis grade; demonstrated research interest/motivation and English proficiency,Top 2% worldwide; Rating 4.1/5 (114 reviews); NVAO Accredited; Scholarships available,https://www.mastersportal.com/studies/112755/religious-studies.html
https://storage-prtl-co.imgix.net/endor/organisations/4446/covers/1740129433_facultyofarts.png,Radboud University,M.A.,Arts and Culture,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 18873 EUR/yr,Not specified,24 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; National: 2027-07-01; Non-EU scholarship: 2027-01-31,IELTS: 6.5; TOEFL iBT: 90,Diploma assessed on an individual basis to determine admission eligibility,"Top 1% worldwide; Rating 4.3/5 (86 reviews); NVAO Accredited; Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships)",https://www.mastersportal.com/studies/113496/arts-and-culture.html
https://storage-prtl-co.imgix.net/endor/organisations/4444/covers/1740129766_facultyofscience.png,Radboud University,M.Sc.,Conservation and Restoration Ecology,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 19714 EUR/yr,Not specified,24 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; National: 2027-07-01; Non-EU scholarship: 2027-01-31,TOEFL iBT: 90; IELTS: 6.5,"Completed Bachelor's degree from a research university in Biology, Environmental Sciences, or closely related field with coursework in conservation/restoration biology, ecology, fieldwork, environmental science, biochemistry/biogeochemistry, plus thesis/research project","Top 1% worldwide; Rating 4.3/5 (86 reviews); Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships)",https://www.mastersportal.com/studies/114648/conservation-and-restoration-ecology.html
https://storage-prtl-co.imgix.net/endor/organisations/4198/covers/1740129787_nijmegenschoolofmanagement.png,Radboud University,M.Sc.,Comparative Politics - Democracies and Autocracies,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 18873 EUR/yr,Not specified,12 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; National: 2027-07-01; Non-EU scholarship: 2027-01-31,TOEFL iBT: 90; IELTS: 6.5,Bachelor's degree in similar/related field from research university with fair number of courses in preferred specialisation,"Top 1% worldwide; NVAO Accredited; Rating 4.3/5 (86 reviews); Optional dual degree available; Scholarships available (Radboud, Fulbright, NL Scholarship)",https://www.mastersportal.com/studies/114666/comparative-politics-democracies-and-autocracies.html
https://storage-prtl-co.imgix.net/endor/organisations/4198/covers/1740129787_nijmegenschoolofmanagement.png,Radboud University,M.Sc.,Economics - Corporate Finance and Control,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 18873 EUR/yr,Not specified,12 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; Non-EU scholarship: 2027-01-31; National: 2027-07-01,TOEFL iBT: 90; IELTS: 6.5,"Bachelor's degree in a similar or related field from another research university, equivalent to Dutch Research University diploma; fluency in written and spoken English","Top 1% worldwide; NVAO Accredited; AACSB Accredited; Rating 4.3/5 (86 reviews); Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships)",https://www.mastersportal.com/studies/114822/economics-corporate-finance-and-control.html
https://storage-prtl-co.imgix.net/endor/organisations/4444/covers/1740129766_facultyofscience.png,Radboud University,M.Sc.,Cyber Security,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 19714 EUR/yr,Not specified,24 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; National: 2027-07-01; Non-EU scholarship: 2027-01-31,IELTS: 6.5; TOEFL iBT: 90,"Completed Bachelor's degree from a research university in Computing Science, Artificial Intelligence, Mathematics, or related discipline, with relevant computing coursework","Top 1% worldwide; Rating 4.3/5 (86 reviews); Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships)",https://www.mastersportal.com/studies/114878/cyber-security.html
https://storage-prtl-co.imgix.net/endor/organisations/4444/covers/1740129766_facultyofscience.png,Radboud University,M.Sc.,Data Science and AI,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 19714 EUR/yr,Not specified,24 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; Non-EU scholarship: 2027-01-31,TOEFL iBT: 90; IELTS: 6.5,"Completed Bachelor's degree from a research university (WO) in Computing Science, Artificial Intelligence, or closely related discipline, including coursework in mathematics, programming, theoretical computing science, data analysis, machine learning, plus thesis","Top 1% worldwide; Rating 4.3/5 (86 reviews); Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships); Taught in English",https://www.mastersportal.com/studies/114888/data-science-and-ai.html
https://storage-prtl-co.imgix.net/endor/organisations/4198/covers/1740129787_nijmegenschoolofmanagement.png,Radboud University,M.Sc.,Economics - Economics Behaviour and Policy,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 18873 EUR/yr,Not specified,12 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; Non-EU scholarship: 2027-01-31,TOEFL iBT: 90; IELTS: 6.5,"Bachelor's degree in a similar or related field from another research university, equivalent to Dutch Research University diploma","NVAO Accredited; AACSB Accredited; Top 1% worldwide; Rating 4.3/5 (86 reviews); Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships, 40+ external scholarships)",https://www.mastersportal.com/studies/115073/economics-economics-behaviour-and-policy.html
https://storage-prtl-co.imgix.net/endor/organisations/4446/covers/1740129433_facultyofarts.png,Radboud University,M.A.,Ancient and Medieval Mediterranean Worlds,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 18873 EUR/yr,Not specified,12 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; Non-EU scholarship: 2027-01-31,TOEFL iBT: 90; IELTS: 6.5,"Bachelor's degree in History or related field like Classics/Archaeology, equivalent to Dutch research university diploma; previous coursework in historiography, research methods, source analysis, academic writing","Top 1% worldwide; Rating 4.3/5 (86 reviews); NVAO Accredited; Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships)",https://www.mastersportal.com/studies/115463/ancient-and-medieval-mediterranean-worlds.html
https://storage-prtl-co.imgix.net/endor/organisations/4198/covers/1740129787_nijmegenschoolofmanagement.png,Radboud University,M.Sc.,Environment and Society Studies - Local Environmental Change and Sustainable Cities,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 25429 EUR/yr,Not specified,12 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; Non-EU scholarship: 2027-01-31,TOEFL iBT: 90; IELTS: 6.5,"Bachelor's degree from a research university in Environment and Society Studies, Spatial Planning or Human Geography, equivalent to Dutch Research University diploma","Top 1% worldwide; NVAO Accredited; Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships)",https://www.mastersportal.com/studies/116972/environment-and-society-studies-local-environmental-change-and-sustainable-cities.html
https://storage-prtl-co.imgix.net/endor/organisations/4444/covers/1740129766_facultyofscience.png,Radboud University,M.Sc.,Medical Epigenomics,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 19714 EUR/yr,Not specified,24 months,Not specified,Sep 2027,EU/EEA: 2027-07-01; Non-EU: 2027-04-01; National: 2027-07-01; Non-EU scholarship: 2027-01-31,TOEFL iBT: 90; IELTS: 6.5,"Completed Bachelor's degree from research university in Medical Biology, Biomedical Sciences, Molecular Life Sciences, or related field, with coursework in molecular biology, cell biology, biochemistry, genetics, genomics, laboratory skills, bioinformatics, plus thesis","Top 1% worldwide; Rating 4.3/5 (86 reviews); Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships)",https://www.mastersportal.com/studies/117004/medical-epigenomics.html
https://storage-prtl-co.imgix.net/mp/b957fa2d.jpg,Saxion University of Applied Sciences,M.B.A.,Executive Business Administration,Netherlands,"Deventer, Netherlands",Deventer,EU: 16130 EUR/yr; Non-EU: 16130 EUR/yr,Not specified,12 months,Not specified,Sep 2026,EU/EEA: 2026-08-15; Non-EU: 2026-06-01; Afghan/Bangladeshi/Indian/Iranian/Nepalese/Nigerian/Pakistani/Sri Lankan/Yemeni: 2026-03-15,TOEFL iBT: 80; IELTS: 6.0; PTE Academic: 61,Higher education Bachelor's degree in a related business field; equivalent of 24 months full-time relevant working experience,"Rating 3.9/5 (34 reviews); Scholarships available (Studyportals €10,000 Scholarship, Erasmus+ grants, Fulbright, and 40+ other scholarships)",https://www.mastersportal.com/studies/11765/executive-business-administration.html
https://storage-prtl-co.imgix.net/endor/organisations/4198/covers/1740129787_nijmegenschoolofmanagement.png,Radboud University,M.Sc.,Business Administration - Organisation Design and Change Management,Netherlands,"Nijmegen, Netherlands",Nijmegen,EU: 2695 EUR/yr; Non-EU: 18873 EUR/yr,Not specified,12 months,Not specified,Sep 2027,EU/EEA: 2027-05-01 to 2027-07-01; Non-EU: 2027-04-01; Non-EU scholarship: 2027-01-31; National: 2027-07-01,TOEFL iBT: 90; IELTS: 6.5; GMAT: 610,"Completed Bachelor's degree from research university in similar/related field; recommended coursework in Organisation Theory, Strategy, Marketing, HRM, Finance, Statistics, Quantitative and Qualitative Methods, Bachelor's thesis (12 ECTS)","NVAO Accredited; AACSB Accredited; Top 1% worldwide; Rating 4.3/5 (86 reviews); Scholarships available (Radboud Scholarship Programme, NL Scholarship, Fulbright-Radboud Scholarships)",https://www.mastersportal.com/studies/118001/business-administration-organisation-design-and-change-management.html
